date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:00:28	13668/13668	---M-Z	200	added ('OK')	text/html	etag:W/%225d0b9278-3564%22	https://yuvrajsharma07.github.io/	E:/Hashtag.Unknown/Portfolio/yuvrajsharma07.github.io/index.html	(from )
22:00:28	5232/5232	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%225c41b5c8-247b%22	https://yuvrajsharma07.github.io/robots.txt		(from )
22:00:34	4013/4013	---MCZ	200	added ('OK')	text/css	etag:W/%225cb07c18-fad%22	https://cdnjs.cloudflare.com/ajax/libs/fullPage.js/3.0.5/fullpage.min.css	E:/Hashtag.Unknown/Portfolio/cdnjs.cloudflare.com/ajax/libs/fullPage.js/3.0.5/fullpage.min.css	(from https://yuvrajsharma07.github.io/)
22:00:36	144877/144877	---M-Z	200	added ('OK')	text/css	etag:%221544639650%22	https://maxcdn.bootstrapcdn.com/bootstrap/4.0.0/css/bootstrap.min.css	E:/Hashtag.Unknown/Portfolio/maxcdn.bootstrapcdn.com/bootstrap/4.0.0/css/bootstrap.min.css	(from https://yuvrajsharma07.github.io/)
22:00:37	50397/50397	---MCZ	200	added ('OK')	text/css	etag:W/%22beb60a9475685e87a9738a7306591e69%22	https://use.fontawesome.com/releases/v5.4.1/css/all.css	E:/Hashtag.Unknown/Portfolio/use.fontawesome.com/releases/v5.4.1/css/all.css	(from https://yuvrajsharma07.github.io/)
22:00:37	922/922	---M-Z	200	added ('OK')	text/css	etag:W/%225d0b9278-39a%22	https://yuvrajsharma07.github.io/Web_Development_Folder/templates/Libraries/ripple_effect_v0.3/ripple_effect_v0.3/ripple_effect.min.css	E:/Hashtag.Unknown/Portfolio/yuvrajsharma07.github.io/Web_Development_Folder/templates/Libraries/ripple_effect_v0.3/ripple_effect_v0.3/ripple_effect.min.css	(from https://yuvrajsharma07.github.io/)
22:00:38	5836/5836	---M-Z	200	added ('OK')	text/css	etag:W/%225d0b9278-16cc%22	https://yuvrajsharma07.github.io/lib/index.css	E:/Hashtag.Unknown/Portfolio/yuvrajsharma07.github.io/lib/index.css	(from https://yuvrajsharma07.github.io/)
22:00:39	4576/4576	---M-Z	200	added ('OK')	text/css	etag:W/%225d0b9278-11e0%22	https://yuvrajsharma07.github.io/Web_Development_Folder/templates/animate.css	E:/Hashtag.Unknown/Portfolio/yuvrajsharma07.github.io/Web_Development_Folder/templates/animate.css	(from https://yuvrajsharma07.github.io/)
22:00:43	178/178	---M--	301	error ('Moved%20Permanently')	text/html	date:Fri,%2005%20Jul%202019%2016:30:45%20GMT	https://yuvrajsharma07.github.io/hackathon	E:/Hashtag.Unknown/Portfolio/yuvrajsharma07.github.io/hackathon	(from https://yuvrajsharma07.github.io/)
22:00:45	1479434/1479434	---M--	200	added ('OK')	image/jpeg	etag:%225d0b9278-16930a%22	https://yuvrajsharma07.github.io/lib/yuvraj.JPG	E:/Hashtag.Unknown/Portfolio/yuvrajsharma07.github.io/lib/yuvraj.jpg	(from https://yuvrajsharma07.github.io/)
22:00:45	178/178	---M--	301	error ('Moved%20Permanently')	text/html	date:Fri,%2005%20Jul%202019%2016:30:48%20GMT	https://yuvrajsharma07.github.io/sbv13.1	E:/Hashtag.Unknown/Portfolio/yuvrajsharma07.github.io/sbv13.9.delayed	(from https://yuvrajsharma07.github.io/)
22:00:45	4860/4860	---M-Z	200	added ('OK')	text/html	etag:W/%2259e231d3-12fc%22	https://yuvrajsharma07.github.io/hackathon/	E:/Hashtag.Unknown/Portfolio/yuvrajsharma07.github.io/hackathon/index.html	(from https://yuvrajsharma07.github.io/)
22:00:46	7666/7666	---M-Z	200	added ('OK')	text/html	etag:W/%225b48f0e8-1df2%22	https://yuvrajsharma07.github.io/sbv13.1/	E:/Hashtag.Unknown/Portfolio/yuvrajsharma07.github.io/sbv13.1/index.html	(from https://yuvrajsharma07.github.io/)
22:00:46	178/178	---M--	301	error ('Moved%20Permanently')	text/html	date:Fri,%2005%20Jul%202019%2016:30:49%20GMT	https://yuvrajsharma07.github.io/pinectrl	E:/Hashtag.Unknown/Portfolio/yuvrajsharma07.github.io/pinectrl	(from https://yuvrajsharma07.github.io/)
22:00:47	6774/6774	---M-Z	200	added ('OK')	text/html	etag:W/%22599d7991-1a76%22	https://yuvrajsharma07.github.io/pinectrl/	E:/Hashtag.Unknown/Portfolio/yuvrajsharma07.github.io/pinectrl/index.html	(from https://yuvrajsharma07.github.io/)
